name,description,paralog
group_3572,putative transmembrane proteinNhaP-type Na+/H+ and K+/H+ antiporters,0
group_2142,dihydroorotaseDihydroorotasedihydroorotaseCarbamoylphosphate synthase small subunitdihydroorotase multifunctional complex typeAmidohydrolase family,1
group_2987,preprotein translocase subunitpreprotein translocase subunit YajCpreprotein translocase YajC subunitPreprotein translocase subunit,1
group_3974,phage replication protein,1
group_729,bacteriocin,0
lytA_6~~~~~~cbpF_2~~~cbpJ_4~~~cbpF~~~cbpJ_3~~~cbpJ_1~~~toxA~~~lytA_8~~~lytA_2~~~lytA_3~~~toxA_1,choline-binding protein F point mutationPutative cell wall binding repeat,1
yjbK,adenylate cyclasehypothetical proteinCYTH domain,0
lytA_2~~~lytA_4~~~lytA_6~~~lytA_3~~~lytA_5~~~lytA_9~~~lytA_7,autolysinAutolysinN-acetylmuramoyl-L-alanine amidaseglucan-binding repeatPutative cell wall binding repeat,1
msbA_1,ABC transporter ATP-binding proteinPutative multidrug export ATP-binding/permease protein SAV1866cyclic beta-12-glucan ABC transporterABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domainlipid A export permease/ATP-binding protein MsbAABC transporter,0
phtA_1~~~gatC_2~~~gatC_3~~~IS1381truncation~~~phtD~~~transposase_C_1~~~phtD_2~~~phtA~~~phtD_1~~~phpA~~~gatC_1~~~ptsI_1,pneumococcal histidine triad protein DTransposase and inactivated derivativesstreptococcal histidine triad proteinTransposase,1
pezT_3~~~pezT_4~~~pezA_2~~~pezA_3~~~pezA~~~pezA_1~~~nplT_1~~~pezA_4,signal recognition particle GTPaseUDP-N-acetylglucosamine kinaseUncharacterized protein conserved in bacteriaputative zinc finger/helix-turn-helix protein YgiT familyZeta toxin,1
group_1641,relaxaseRelaxase/Mobilisation nuclease domain,0
group_91,hypothetical cytosolic protein,0
galK_1~~~galK_2~~~galK,galactokinase (galactose kinase)GalactokinasegalactokinaseGalactokinasegalactokinaseGalactokinase galactose-binding signature,1
group_1239,beta-lactamase,0
group_83,30S ribosomal protein S15,0
phtD~~~phtA_3~~~phtA_2~~~phtA~~~phtD_2~~~phtA_1~~~phpA~~~phtD_1~~~phpA_1~~~phtD_3,pneumococcal histidine triad protein D truncationstreptococcal histidine triad protein,0
group_5073,transposase-like protein IS1381 ISSpn7,0
group_1935,hypothetical protein,0
IS1167truncation,transposase,1
amiA_2~~~amiA_1~~~amiA,oligopeptide-binding protein AmiAOligopeptide-binding protein AmiA precursorABC-type oligopeptide transport system periplasmic componentBacterial extracellular solute-binding proteins family 5 Middle,0
group_675,transposaseTransposase and inactivated derivativesTransposase DDE domain,0
asp3,accessory secretory protein Asp3Orf3accessory Sec system protein Asp3,0
lrp_1~~~lrp_2,collagen-binding protein APredicted outer membrane proteinLPXTG cell wall anchor domainCna protein B-type domain,1
spxA_4~~~spxA_3~~~spxA_5,IS1239 transposase putativeTransposase and inactivated derivatives IS30 family,1
ebh_2~~~~~~adh_2~~~adhA_1~~~IS861truncation_2~~~IS861truncation~~~IS861truncation_1~~~IS861truncation_3,transposase,1
group_2720,degenerate transposaseTransposase and inactivated derivativesTransposase IS116/IS110/IS902 family,1
lytB_2~~~~~~cbpA~~~lytA_8~~~pspA~~~lytA_1~~~lytB_1~~~lytA_3~~~lytA_5~~~lytA_2~~~lytA_4~~~lytA_6~~~lytB_3~~~pspC2~~~lytB_4~~~bag~~~cbpA_1~~~lytB_5~~~pspC~~~cbpA_2~~~pspA_1~~~toxA~~~cbp2_2~~~toxB~~~pspC_1~~~pspA_2~~~lytB_6~~~bag_1~~~lytA_7,SigA binding proteinPutative endo-beta-N-acetylglucosaminidase precursorBeta- N-acetylglucosaminidaseglucan-binding repeatPutative cell wall binding repeat,1
group_2555,response regulatorUncharacterized response regulatory protein SA0215DNA-binding transcriptional regulator AraCResponse regulator of citrate/malate metabolismYSIRK-targeted surface antigen transcriptional regulatorResponse regulator receiver domain,1
group_3918,pneumococcal histidine triad protein E,0
group_4612,phage protein,1
group_3280,Protein of unknown function (DUF2806),0
zmpB~~~iga_3~~~iga~~~iga_2,zinc metalloprotease ZmpBImmunoglobulin A1 protease precursorUncharacterized protein conserved in bacteriaM26 IgA1-specific Metallo-endopeptidase C-terminal region,0
group_942,hypothetical protein,0
group_1131,transposase IS663-likeTransposase domain (DUF772),1
group_1514,ABC transporter membrane-spanning protein,1
group_15,translation initiation factor IF-1Translation initiation factor IF-1translation initiation factor IF-1translation initiation factor IF-1Translation initiation factor 1A / IF-1,1
rexB~~~rexB_1~~~rexB_2,exonuclease RexBATP-dependent helicase/deoxyribonuclease subunit BATP-dependent nuclease subunit BPD-(D/E)XK nuclease superfamily,0
lctO_2~~~lctO_1~~~trpE_1~~~trpE,lactate oxidaseL-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenasesL-lactate oxidaseFMN-dependent dehydrogenase,1
dhaS,dihydroxyacetone kinase regulatorHTH-type dhaKLM operon transcriptional activator dhaSprobable dihydroxyacetone kinase regulatorBacterial regulatory proteins tetR family,0
lytA_5~~~dinF_1~~~dinF_2~~~dinF,damage inducible DinF proteinStaphylococcal virulence regulator protein Amultidrug efflux pump VmrAMATE efflux family proteinMatE,1
cbpA~~~pspA~~~lytA_1~~~pspA_2~~~lytB_1~~~pspC~~~cbpA_2~~~lytA_7~~~lytB_5~~~cbpA_1~~~lytB_4~~~lytA_5~~~bag_1~~~pspC2~~~pspA_1~~~lytB_2~~~lytA_4~~~lytA_2~~~bag~~~lytA_8~~~lytB_3~~~lytA_3~~~~~~toxA_2~~~pspC_2~~~rmlD_1~~~rmlD_2~~~rmlD,surface protein PspCBeta antigengram-positive signal peptide YSIRK familyRICH domain,1
group_1633,gp24Protein of unknown function (DUF1642),1
group_960,LacI family transcriptional regulatorDNA-binding transcriptional repressor MalID-fructose-responsive transcription factorBacterial regulatory proteins lacI family,0
licD2_1~~~licD2,licD2 proteinLPS biosynthesis proteinLicD family,1
yheS_3~~~yjjK~~~yheS_2~~~yjjK_1~~~yheS_1,ABC transporter ATP-binding proteinUncharacterized ABC transporter ATP-binding protein YjjKputative ABC transporter ATP-binding proteinATP-dependent transcriptional regulatorATP-binding cassette protein ChvD familyABC transporter,1
group_1187,GTP-binding protein LepAElongation factor 4GTP-binding protein LepAPhosphotransferase system galactitol-specific IIB componentGTP-binding protein LepAGTP-binding protein LepA C-terminus,1
group_2408,phage protein,0
group_2930,NAD binding domain of 6-phosphogluconate dehydrogenase familytartronate semialdehyde reductase2-hydroxy-3-oxopropionate reductaseNAD binding domain of 6-phosphogluconate dehydrogenase,0
group_4483,hypothetical proteinhypothetical proteinUncharacterized protein conserved in bacteriaBacterial protein of unknown function (DUF896),1
group_3079,Multidrug resistance protein mdtKMultidrug export protein mepAmultidrug efflux pump VmrAMATE efflux family proteinMatE,0
group_794,SP14.3 proteinSP14.3ribosome maturation protein RimPUncharacterised BCR YhbC family COG0779,1
group_3355,secreted protein,0
group_3566,putative cytoplasmic protein,0
group_2749,serine/threonine protein kinaseLantibiotic modifying enzymetype 2 lantibiotic biosynthesis protein LanMLanthionine synthetase C-like protein,1
transposase_A~~~wzg_1~~~wzg~~~phtD~~~phtA~~~phtD_3~~~phpA_1~~~phpA~~~phtD_2~~~phtD_1,capsular polysaccharide biosynthesis protein Cps14APutative transcriptional regulator ywtFmembrane-bound transcriptional regulator LytRcell envelope-related function transcriptional attenuator common domainCell envelope-related transcriptional attenuator domain,0
IS1381truncation~~~cbpA,transposase-like protein IS1381 ISSpn7Transposase and inactivated derivatives IS30 family,1
group_2697,degenerate transposaseTransposase and inactivated derivatives,1
hlyB_4~~~hlyB_1~~~cysA~~~metN2_1~~~ecfA1_1,ABC transporter ATP-binding proteinEnergy-coupling factor transporter ATP-binding protein EcfA 1DL-methionine transporter ATP-binding subunitABC-type Na+ transport system ATPase componentlantibiotic protection ABC transporter ATP-binding subunitABC transporter,0
group_3148,phage protein,0
group_1019,Tn5253 hypothetical protein,1
IS1167truncation~~~pfbA_2~~~gldA_1,transposase-like protein IS1515Transposase and inactivated derivativesTransposase DDE domain,1
cbp9_2~~~lytA_7~~~cbp9~~~toxA~~~lytA_1~~~lytA_3~~~toxB~~~cbpJ_3~~~lytA_4~~~lytA_5~~~cbpJ_1~~~lytA_2~~~toxA_1~~~cbp9_1~~~cbpJ_5,choline binding protein JAutolysinPutative cell wall binding repeat,1
gor_1,glutathione reductaseGlutathione reductaseglutathione reductaseglutathione-disulfide reductasePyridine nucleotide-disulphide oxidoreductase dimerisation domain,1
group_463,phage major tail proteinphage major tail protein phi13 family,0
psrP~~~gspB~~~coaBC_1,Large surface exposed glycoprotein PsrPserine-rich repeat adhesion glycoproteinGram positive anchor,0
hsdS_2~~~hsdS_1~~~~~~hsdS_3~~~hsdS,type I restriction modification DNA specificity domain-containing protein,1
fhuC_2~~~ybhF_2~~~fbpC~~~ecsA_2~~~ecsA_4~~~thiQ~~~~~~fbpC_2,ABC transporter ATP-binding proteinFluoroquinolones export ATP-binding protein Rv2688c/MT2762cobalt transporter ATP-binding subunitABC-type Na+ transport system ATPase componentdaunorubicin resistance ABC transporter ATP-binding protein,1
group_1396,30S ribosomal protein S1130S ribosomal protein S1130S ribosomal protein S11Ribosomal protein S1130S ribosomal protein S11Ribosomal protein S11,1
transposase_A~~~phtA~~~phpA~~~phtA_2~~~phtA_1~~~phpA_1,streptococcal histidine triad protein PhpATransposase and inactivated derivativesstreptococcal histidine triad proteinTransposase,1
treP_2~~~treP_1~~~treP,trehalose PTS system IIABC componentsEIIBCA-BglPTS system beta-glucoside-specific transporter subunits IIABCPTS system beta-glucoside-specific IIABC componentphosphoenolpyruvate-dependent sugar phosphotransferase system EIIA 1,0
gatC_3,transposase,1
bcgIB_2,putative type IIS restriction enzymeRestriction enzyme BgcI subunit betaType I restriction modification DNA specificity domain,0
group_3380,Capsular polysaccharide synthesis protein,0
ald2_2~~~ald2~~~aldtruncation~~~ald_2~~~ald_1,alanine dehydrogenaseAlanine dehydrogenasealanine dehydrogenaseAlanine dehydrogenase/PNT N-terminal domain,1
argR1_2~~~argR~~~argR1~~~argR1_1,arginine repressorArginine regulatorarginine repressorarginine repressorArginine repressor DNA binding domain,1
IS861truncation_1~~~IS861truncation_2,transposaseTransposase,1
group_291,twin-arginine translocation pathway signalUncharacterized conserved proteinProtein of unknown function (DUF1237),1
lptB_2~~~lptB_1~~~ecfA2_1~~~ecsA_4~~~ecsA_3,ABC transporter ATP-binding proteinLipopolysaccharide export system ATP-binding protein LptBcytochrome c biogenesis protein CcmAABC-type uncharacterized transport system ATPase componentgliding motility-associated ABC transporter ATP-binding subunit GldA,1
group_3828,hypothetical protein,0
pspA~~~pspC2~~~lytA_1~~~lytA_4~~~lytB_2~~~pspA_2~~~cbpA_1~~~cbpA~~~lytA_5~~~bag~~~cbpA_2~~~pspA_1~~~lytB_1~~~lytA_8~~~lytA_6~~~lytB_4~~~lytB_5,surface protein PspCBeta antigengram-positive signal peptide YSIRK familyRICH domain,0
glnP_1~~~glnP_3~~~glnP_2~~~glnP,glutamine ABC transporter permeaseArginine-binding extracellular protein ArtP precursorglutamine ABC transporter periplasmic proteinABC-type taurine transport system periplasmic componentlysine-arginine-ornithine-binding periplasmic proteinBacterial extracellular solute-binding proteins family 3,0
group_2528,phage antirepressor proteinUncharacterized phage-encoded proteinPhage antirepressor protein KilAC domain,0
group_4315,spoU rRNA methylase family proteinPutative TrmH family tRNA/rRNA methyltransferase23S rRNA (guanosine-2'-O-)-methyltransferaseRNA methyltransferase TrmH family group 3SpoU rRNA Methylase family,1
group_700,brp/Blh family beta-carotene 1515'-monooxygenaseProtein of unknown function (DUF3169),1
fbpC_2~~~malK_1~~~~~~fbpC~~~potA_1~~~potA_2~~~malK_2,ATP-binding component of ABC transporterPutative ABC transporter ATP-binding protein MG187 homologputrescine/spermidine ABC transporter ATPase proteinABC-type spermidine/putrescine transport systems ATPase componentsputative 2-aminoethylphosphonate ABC transporter ATP-binding proteinTOBE domain,1
group_1426,putative sortase-sorted surface anchored protein (pseudogene)LPXTG cell wall anchor domainMucBP domain,0
group_3111,hypothetical protein,0
group_1020,caax amino protease family proteinCAAX amino terminal protease self- immunity,1
ykoD~~~~~~ykoE~~~nikO_2~~~ykoD_1~~~nikO~~~ecfA2_1~~~ykoD_2~~~nikO_1,cobalt or other cation ABC transporter ATP-binding proteinPutative HMP/thiamine import ATP-binding protein YkoDcobalt transporter ATP-binding subunitABC-type Na+ transport system ATPase componentcobalt ABC transporter ATP-binding proteinABC-type cobalt transport system permease component,1
group_2484,Tn916 ORF16 ATP/GTP-binding proteinType IV secretory pathway VirB4 components,0
pcnB~~~pcnB_1,tRNA nucleotidyltransferaseCCA-adding enzymetRNA CCA-pyrophosphorylaseCCA tRNA nucleotidyltransferasePoly A polymerase head domain,0
phtD~~~phtA_3~~~phtA_2~~~phtA~~~phtD_2~~~phtA_1~~~phpA~~~phtD_1~~~phpA_1~~~phtD_3,Pneumococcal histidine triad proteinstreptococcal histidine triad proteinStreptococcal histidine triad protein,0
pflB~~~pfl_2~~~pfl_1~~~pfl,pyruvate formate-lyaseFormate acetyltransferaseautonomous glycyl radical cofactor GrcAformate acetyltransferasePyruvate formate lyase,1
yutD,transcriptional regulatorhypothetical proteinUncharacterized protein conserved in bacteriaProtein of unknown function (DUF1027),0
ubiG~~~rebM~~~~~~ubiE,methyltransferase small domain superfamily protein3-demethylubiquinone-9 3-methyltransferasebifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylasePredicted methyltransferase (contains TPR repeat)3-demethylubiquinone-9 3-O-methyltransferaseMethyltransferase domain,1
mutX_1~~~mutX_3~~~mutX_2,MutT/nudix family protein8-oxo-dGTP diphosphatasehypothetical proteinNTP pyrophosphohydrolases containing a Zn-finger probably nucleic-acid-bindingnucleoside triphosphatase YtkDNUDIX domain,1
group_2684,PTS system transporter subunit IIAPhosphotransferase system galactitol-specific IIB componentPhosphoenolpyruvate-dependent sugar phosphotransferase system EIIA 2,1
yesN,AraC family transcriptional regulatorDNA-binding transcriptional activator FeaRDNA gyrase inhibitorYSIRK-targeted surface antigen transcriptional regulatorHelix-turn-helix domain,1
group_4728,bifunctional riboflavin kinase/FMN adenylyltransferaseRiboflavin biosynthesis protein ribFbifunctional riboflavin kinase/FMN adenylyltransferaseFAD synthaseriboflavin biosynthesis protein RibFRiboflavin kinase,1
group_2626,DegV family proteinDegV domain-containing protein SPy_1493/M5005_Spy1226Transposase and inactivated derivatives IS30 familyEDD domain protein DegV familyUncharacterised protein DegV family COG1307,1
lytA_1~~~lytA_3~~~pspA~~~~~~lytB_1~~~lytA_4~~~pspA_2~~~pspA_1~~~cbpA_1~~~lytA_2,surface protein AToxin ABeta- N-acetylglucosaminidaseglucan-binding repeatPutative cell wall binding repeat,0
transposase_D_1~~~transposase_D,transposase,1
IntTn_4~~~IntTn_3~~~IntTn_2~~~IntTn_5~~~~~~IntTn_6,integraseIntegrasesite-specific tyrosine recombinase XerCSite-specific recombinase XerDtyrosine recombinase XerCPhage integrase family,1
group_3037,chlorohydrolase,1
ybbL~~~bmrA_2~~~~~~msbA_3~~~bmrA~~~msbA_1,ABC transporter ATP-binding proteinMultidrug resistance ABC transporter ATP-binding/permease protein BmrAcysteine/glutathione ABC transporter membrane/ATP-binding componentABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domainthiol reductant ABC exporter CydD subunitABC transporter,1
ydaF_4~~~rimL~~~ydaF_2~~~ydaF_1~~~ydaF_5~~~ydaF_3,acetyltransferase gnat familyAcetyltransferase (GNAT) family,1
artM_2~~~artM_1~~~macB_3~~~macB_4~~~ftsE_1~~~~~~macB_2,antimicrobial peptide ABC transporter ATPaseMacrolide export ATP-binding/permease protein MacBDL-methionine transporter ATP-binding subunitABC-type phosphate/phosphonate transport system ATPase componentputative bacteriocin export ABC transporter lactococcin 972 groupABC transporter,1
iscS_1~~~iscS_2,class-V aminotransferaseCysteine desulfurasecysteine desulfuraseUncharacterized protein conserved in bacteriacysteine desulfurase NifSAminotransferase class-V,0
leuA_2~~~leuA~~~leuA_1,2-isopropylmalate synthase2-isopropylmalate synthase2-isopropylmalate synthaseIsopropylmalate/homocitrate/citramalate synthases2-isopropylmalate synthaseLeuA allosteric (dimerisation) domain,1
group_3482,DNA-binding protein,0
gdhA_1~~~gdhA_2~~~gdhA~~~gdhA_3,glutamate dehydrogenaseNADP-specific glutamate dehydrogenaseglutamate dehydrogenase,1
group_2376,transposasePreprotein translocase subunit SecB,1
recJ_2~~~recJ_1,single-stranded DNA-specific exonucleaseSingle-stranded-DNA-specific exonuclease recJssDNA exonuclease RecJUncharacterized protein conserved in bacteriasingle-stranded-DNA-specific exonuclease RecJ,0
gdhA_1~~~gdhA_2~~~gdhA,glutamate dehydrogenaseNADP-specific glutamate dehydrogenaseglutamate dehydrogenaseGlutamate/Leucine/Phenylalanine/Valine dehydrogenase,1
group_1167,hypothetical protein,0
group_2070,transcriptional regulatortranscriptional regulator y4mF familyHelix-turn-helix,1
glcR_1~~~glpR~~~~~~glcR,regulator of fucose operonHTH-type transcriptional repressor glcRDNA-bindng transcriptional repressor SrlRBacterial regulatory proteins deoR family,1
trmE_1~~~trmE~~~trmE_2,tRNA modification GTPase TrmEtRNA modification GTPase MnmEtRNA modification GTPase TrmEPredicted GTPasetRNA modification GTPase TrmEGTP-binding protein TrmE N-terminus,1
yjiR,transcriptional regulatorUncharacterized HTH-type transcriptional regulator yjiRaspartate aminotransferasehistidine utilization repressorAminotransferase class I and II,0
group_749,hypothetical protein,0
ABCNP_2~~~ABCNP_1~~~ABCNP,ABC transporter ATP-binding protein/permeaseLipid A export ATP-binding/permease protein MsbAputative multidrug transporter membrane\ATP-binding componentsABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domainantigen peptide transporter 2ABC transporter transmembrane region,1
group_174,arylsulfataseArylsulfatasearylsulfatase,1
group_2426,repressor-related protein,0
ybbL~~~bmrA_2~~~~~~msbA_3~~~bmrA~~~msbA_1,ABC transporter ATP-binding proteinLipid A export ATP-binding/permease protein MsbAcysteine/glutathione ABC transporter membrane/ATP-binding componentABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domainlipid A export permease/ATP-binding protein MsbAABC transporter transmembrane region,1
group_27,hypothetical protein,1
group_3637,IS66 family Orf1,0
yclQ~~~yclQ_1~~~yclQ_2,iron-compound ABC transporter iron-compound-binding proteinUncharacterized ABC transporter solute-binding protein yclQ precursoriron-dicitrate transporter substrate-binding subunitABC-type enterochelin transport system periplasmic componentputative ABC transporter PGF-CTERM-modified substrate-binding proteinPeriplasmic binding protein,1
smc_2,Purine NTPaserecombination protein FPredicted ATP-binding protein involved in virulenceexonuclease SbcCRecF/RecN/SMC N terminal domain,0
zmpB_2~~~zmpD_2~~~zmpD_1~~~zmpD,zinc metalloprotease ZmpBImmunoglobulin A1 protease precursor,0
dtxR_1~~~ideR~~~~~~dtxR,iron-dependent transcriptional regulatorIron-dependent repressor IdeRIron dependent repressor metal binding and dimerisation domain,0
psrP,Large surface exposed glycoprotein PsrPphosphopantothenoylcysteine decarboxylaseserine-rich repeat adhesion glycoprotein,0
dinP~~~dinP_1~~~cah_1~~~dinP_3,DNA polymerase IVDNA polymerase IVDNA polymerase IVNucleotidyltransferase/DNA polymerase involved in DNA repairimpB/mucB/samB family,1
lytA_1~~~lytA_3~~~pspA~~~~~~lytB_1~~~lytA_4~~~pspA_2~~~pspA_1~~~cbpA_1~~~lytA_2,choline binding protein APutative endo-beta-N-acetylglucosaminidase precursorPutative cell wall binding repeat,0
group_1972,transposase for insertion sequenceIntegrase core domain,1
group_2541,beta-galactosidase/beta-glucuronidase truncatedBeta-galactosidasecryptic beta-D-galactosidase subunit alphaGlycosyl hydrolases family 2 sugar binding domain,0
group_838,replication proteinPlasmid replication protein,1
pppA~~~pppA_1,type II secretory pathway prepilin signal peptidaseLeader peptidase pppABacterial Peptidase A24 N-terminal domain,1
group_2633,transposase-like protein IS1202,0
group_4860,lipoprotein putative,1
rggD~~~~~~rggD_1~~~rggD_2,putative DNA-binding proteintranscriptional activator Rgg/GadR/MutR family C-terminal domainHelix-turn-helix domain,1
group_126,hypothetical protein,0
tnpC_1~~~tnpC,transposase ISSmi3 N-terminal truncationTransposase and inactivated derivatives IS30 family,1
group_1078,hypothetical protein,0
wze~~~epsD~~~cpsD,capsule biosynthesis tyrosine-protein kinase WzeTyrosine-protein kinase CpsDtyrosine kinaseCapsular polysaccharide biosynthesis proteincapsular exopolysaccharide familyCobQ/CobB/MinD/ParA nucleotide binding domain,0
hhaIM_2~~~hhaIM_1,cytosine-specific methyltransferaseModification methylase HhaIDNA cytosine methylaseDNA (cytosine-5-)-methyltransferaseC-5 cytosine-specific DNA methylase,1
treP_2~~~treP_1~~~treP,trehalose PTS system IIABC componentsEIIBC-TrePTS system trehalose(maltose)-specific transporter subunits IIBCPTS system trehalose-specific IIBC componentphosphotransferase system EIIB,0
rpsP_1~~~rpsP_2,30S ribosomal protein S16BS1730S ribosomal protein S16ribosomal protein S16,1
group_2451,IS1239 transposaseTransposase and inactivated derivatives IS30 family,1
lytA_1~~~lytA_3~~~pspA~~~~~~lytB_1~~~lytA_4~~~pspA_2~~~pspA_1~~~cbpA_1~~~lytA_2,pneumococcal surface protein PspAAutolysinglucan-binding repeatPutative cell wall binding repeat,0
pspA~~~lytB_2~~~lytA_1~~~lytB_3~~~lytA_7~~~lytA_4~~~cbpA~~~lytB_4~~~cbpA_2~~~pspC_2~~~lytA_3,choline-binding surface protein AAutolysinglucan-binding repeatPutative cell wall binding repeat,0
pezA_2~~~~~~pezA_3~~~pezA_1~~~pezA_6~~~dinB~~~hlyB_1~~~hlyB~~~hlyB_2~~~apxIB~~~hlyB_3~~~lagD_1~~~hlyB_4~~~yheH_2~~~nanE2_1~~~nanE~~~lagD_2~~~pezT_2~~~pezT_1~~~pezT_3~~~pezT_4~~~pezT_6~~~pezT,transcriptional regulatorAntitoxin PezA,1
group_4051,type I restriction-modification system S subunit,0
group_641,aldose 1-epimeraseDomain of unknown function (DUF1912),1
group_1369,oligohyaluronate lyaseUncharacterized protein conserved in bacteria,0
bglH_1~~~bglH~~~bglH_2~~~~~~bglH_3,beta-glucosidaseAryl-phospho-beta-D-glucosidase BglHcryptic 6-phospho-beta-glucosidase6-phospho-beta-galactosidaseGlycosyl hydrolase family 1,1
group_1646,divergent AAA ATPaseDivergent AAA domain,0
lagD_3~~~~~~tcyN,ABC transporter ATP-binding protein/permease,0
pfbA_2,IS1167 transposase,1
group_2242,hypothetical protein,0
pezA_4~~~pezA_1,transposaseTransposase and inactivated derivativesPD-(D/E)XK nuclease family transposase,1
glpK_1~~~dexB_1~~~glpK~~~glpK_2,glycerol kinaseGlycerol kinaseglycerol kinaseglycerol kinaseFGGY family of carbohydrate kinases C-terminal domain,1
group_4180,riboflavin synthase subunit alphaRiboflavin synthase alpha chainriboflavin synthase subunit alphariboflavin synthase alpha subunitLumazine binding domain,1
hexA~~~hexA_1~~~hexA_2,DNA mismatch repair protein MutSDNA mismatch repair protein mutSDNA mismatch repair protein MutSATP phosphoribosyltransferaseDNA mismatch repair protein MutSMutS domain V,0
mgtB,P-type ATPase-metal cation transportCalcium-transporting ATPase lmo0841magnesium-transporting ATPaseUncharacterized protein conserved in bacteriaheavy metal translocating P-type ATPasehaloacid dehalogenase-like hydrolase,1
IS861truncation_1~~~IS861truncation_2,IS3-Spn1 transposase truncationIntegrase core domain,1
lmrA_1~~~lmrA_3,ABC transporterMultidrug resistance ABC transporter ATP-binding and permease proteinlipid transporter ATP-binding/permease proteinABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domaintype I secretion system ATPaseABC transporter transmembrane region,0
group_1283,putative cytoplasmic proteinUncharacterized conserved proteinProtein of unknown function (DUF1706),0
group_1905,transposase-like protein ISSpn1 ISSpn3Integrase core domain,0
murC_1,UDP-N-acetylmuramate--L-alanine ligaseUDP-N-acetylmuramate--L-alanine ligaseUDP-N-acetylmuramate--L-alanine ligaseUDP-N-acetylmuramate--alanine ligaseMur ligase family catalytic domain,0
group_4125,IS66 family Orf1,0
drrA,ABC-type Na+ transport system ATPase componentdaunorubicin resistance ABC transporter ATP-binding protein,0
group_2861,positive transcriptional regulator MutR familytranscriptional activator Rgg/GadR/MutR family C-terminal domainHelix-turn-helix domain,0
group_5005,chlorohydrolase,0
pezT_3~~~pezT_1~~~pezT_2~~~pezT_5~~~pezT_6~~~lagD_2~~~lagD_3~~~lagD_1~~~hlyB_4~~~pezT_4,transposaseTransposase and inactivated derivativesTransposase DDE domain,1
group_4922,hypothetical protein,0
group_906,transcriptional regulatoranaerobic benzoate catabolism transcriptional regulatorHelix-turn-helix domain,0
group_736,transcriptional activator,1
group_116,transcriptional regulator,0
prtP~~~prtP_2~~~prtP_1,cell wall-associated serine proteinase,1
group_827,conjugative transposon membrane proteinPrgI family protein,0
licC~~~licC_1,CTP:phosphocholine cytidylyltransferaseUTP--glucose-1-phosphate uridylyltransferasebifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferaseCTP:phosphocholine cytidylyltransferase involved in choline phosphorylation for cell surface LPS epitopesUDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferaseNucleotidyl transferase,1
mrnC,RIBOc superfamily proteinMini-ribonuclease 3RNase3 domain,1
group_3893,excreted peptideCOMC family,0
tlyC_2~~~tlyC~~~tlyC_1,CBS domain membrane proteinMagnesium and cobalt efflux protein CorCmagnesium/cobalt efflux protein CorCPutative Mg2+ and Co2+ transporter CorCgliding motility-associated protein GldETransporter associated domain,1
rplS,50S ribosomal protein L1950S ribosomal protein L1950S ribosomal protein L19Ribosomal protein L19ribosomal protein L19Ribosomal protein L19,1
deoD_1,phosphorylase Pnp/Udp family proteinPurine nucleoside phosphorylase deoD-typeAMP nucleosidaseputative AMP nucleosidasePhosphorylase superfamily,1
group_1477,serine/threonine protein phosphatasediadenosine tetraphosphatasebis(5'-nucleosyl)-tetraphosphatase (symmetrical)Calcineurin-like phosphoesterase,0
galE_3~~~galE_1,UDP-galactose 4-epimerase,1
group_183,aminotransferase AlaTaminotransferase AlaT,1
ebh_2~~~~~~adh_2~~~adhA_1~~~IS861truncation_2~~~IS861truncation~~~IS861truncation_1~~~IS861truncation_3,integrase core domain-containing protein,1
yhbU_3~~~yhbU_1~~~fokIM_1~~~yhbU~~~yhbU_2,peptidase U32 familyputative proteaseCollagenase and related proteases,1
blpN~~~lafA,blpN protein,1
nudF_2~~~nudF_1~~~nudF,MutT/NUDIX hydrolase family proteinADP-ribose pyrophosphatase,0
rnjA,metallo-beta-lactamase superfamily protein 1Ribonuclease J 1conserved hypothetical proteinRNA-metabolising metallo-beta-lactamase,1
fabH,3-oxoacyl-ACP synthase III3-oxoacyl-[acyl-carrier-protein] synthase 33-oxoacyl-(acyl carrier protein) synthase III3-oxoacyl-[acyl-carrier-protein] synthase III3-oxoacyl-[acyl-carrier-protein] synthase III3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,0
group_202,hypothetical protein,1
eno~~~eno_1~~~eno_2,phosphopyruvate hydrataseEnolaseenolasephosphopyruvate hydrataseEnolase N-terminal domain,0
citS~~~~~~dpiB,histidine kinaseSensor histidine kinase DpiBsensory histidine kinase DcuSPredicted signal transduction protein with a C-terminal ATPase domainHistidine kinase- DNA gyrase B- and HSP90-like ATPase,0
group_5032,IS1239 transposaseTransposase and inactivated derivatives IS30 familyIntegrase core domain,0
group_382,hypothetical protein,1
group_3063,hypothetical protein,0
